업종명,업소명,소재지(도로명),소재지(지번),소재지전화
유흥주점,별밤나이트S노래타운,"경기도 고양시 일산서구 중앙로 1456, 서현프라자 지하 1층 비101, 비102, 비103호 (주엽동)",경기도 고양시 일산서구 주엽동 18번지 2호 서현프라자 지하 1층 , 031- 919-3327
유흥주점,신밧드,"경기도 고양시 일산서구 강선로 59 (주엽동,번지 동신파크지하9호)",경기도 고양시 일산서구 주엽동 72번지 1호 번지 동신파크지하9호 , 031- 922-4807
유흥주점,터널노래뱅크,"경기도 고양시 덕양구 지도로35번길 77 (토당동,지층)",경기도 고양시 덕양구 토당동 383번지 5호 지층 , 031- 938- 387
유흥주점,맨하탄,"경기도 고양시 덕양구 화신로272번길 52 (화정동,원빈프라자 지하1층)",경기도 고양시 덕양구 화정동 981번지 원빈프라자 지하1층 , 031- 938-0032
유흥주점,준노래뱅크,"경기도 고양시 덕양구 충장로 140 (행신동, 썬프라자지하 5,6,7호)","경기도 고양시 덕양구 행신동 943번지 썬프라자지하 5,6,7호 ", 031- 938-6788
유흥주점,나이스노래바,"경기도 고양시 덕양구 중앙로558번길 7-8 (행신동, 지하1층)",경기도 고양시 덕양구 행신동 945번지 2호 지하1층 , 031- 938-7355
유흥주점,에이스,"경기도 고양시 덕양구 호국로 786-1 (성사동, 지하1층)",경기도 고양시 덕양구 성사동 698번지 14호 지하1층 , 031- 963-3307
유흥주점,명동 미인촌,"경기도 고양시 덕양구 원당로59번길 4-1 (주교동, 지하1층)",경기도 고양시 덕양구 주교동 585번지 11호 지하1층 , 031- 963-6864
유흥주점,샤넬,"경기도 고양시 덕양구 고양시청로 30-11, 지하1층 (주교동)",경기도 고양시 덕양구 주교동 605번지 14호 지하1층 , 031- 964-1013
유흥주점,꽃잎메들리,경기도 고양시 덕양구 마상로126번길 103 (주교동),경기도 고양시 덕양구 주교동 611번지 7호  , 031- 964-1144
유흥주점,골든벨,"경기도 고양시 덕양구 고양시청로 27, 지하1(일부)층 (주교동)",경기도 고양시 덕양구 주교동 606번지 지하1(일부)층 , 031- 964-1565
유흥주점,3학년1반,"경기도 고양시 덕양구 호국로 809 (주교동,지하1층)",경기도 고양시 덕양구 주교동 620번지 2호 지하1층 , 031- 964-3700
유흥주점,궁,"경기도 고양시 덕양구 원당로59번길 3-17 (주교동,지층)",경기도 고양시 덕양구 주교동 599번지 20호 지층 , 031- 964-7195
유흥주점,다정,"경기도 고양시 덕양구 고양대로 1327, 지하층 (주교동)",경기도 고양시 덕양구 주교동 606번지 9호 지하 , 031- 965-0204
유흥주점,수노래장,"경기도 고양시 덕양구 마상로140번길 78 (주교동,지하)",경기도 고양시 덕양구 주교동 613번지 4호 지하 , 031- 965-0971
유흥주점,갤러리,경기도 고양시 덕양구 원당로 57 (주교동),경기도 고양시 덕양구 주교동 599번지 11호  , 031- 965-9600
유흥주점,선영,"경기도 고양시 덕양구 고양시청로 2, 지하1층 (주교동)",경기도 고양시 덕양구 주교동 599번지 21호 지하1층 , 031- 965-9708
유흥주점,정다운노래뱅크,"경기도 고양시 덕양구 원당로33번길 21, 지하1(일부)층 (주교동)",경기도 고양시 덕양구 주교동 605번지 7호 지하1(일부) , 031- 966-0715
유흥주점,준노래타운,"경기도 고양시 덕양구 마상로126번길 73, 지하1층 (주교동)",경기도 고양시 덕양구 주교동 612번지 5호  , 031- 966-2532
유흥주점,황진이,"경기도 고양시 덕양구 호국로 816 (성사동, 지하1층)",경기도 고양시 덕양구 성사동 502번지 5호 지하1층 , 031- 966-8006
유흥주점,여우미인촌,경기도 고양시 덕양구 호국로 813 (주교동),경기도 고양시 덕양구 주교동 621번지 7호  , 031- 967-0282
유흥주점,오케이미시크럽,"경기도 고양시 덕양구 호국로 815 (주교동,2층)",경기도 고양시 덕양구 주교동 621번지 6호 2층 , 031- 967-2223
유흥주점,브이아이피,"경기도 고양시 덕양구 호국로801번길 5 (주교동,지하1층)",경기도 고양시 덕양구 주교동 615번지 1호 지하1층 , 031- 967-4158
유흥주점,로마주점,"경기도 고양시 덕양구 화정로 53-1 (화정동,글로리아 프라자710호)",경기도 고양시 덕양구 화정동 967번지 3호 글로리아 프라자710호 , 031- 967-8846
유흥주점,음치룸클럽,"경기도 고양시 덕양구 호국로 778-2 (성사동,지하1층)",경기도 고양시 덕양구 성사동 699번지 지하1층 , 031- 968-5122
유흥주점,썸(미시촌),"경기도 고양시 덕양구 고양시청로 4 (주교동, 지하1층)",경기도 고양시 덕양구 주교동 599번지 22호 지하1층 , 031- 968-8004
유흥주점,아쿠아노래클럽,"경기도 고양시 덕양구 호국로 776 (성사동,지하1층)",경기도 고양시 덕양구 성사동 699번지 13호 지하1층 , 031- 968-9960
유흥주점,천하노래클럽,"경기도 고양시 덕양구 화중로 96, 우정프라자 B01,B02호동 (화정동)","경기도 고양시 덕양구 화정동 968번지 4호 우정프라자B01,B02호 ", 031- 969-2999
유흥주점,한국관나이트,"경기도 고양시 덕양구 화신로272번길 29 (화정동,현대빌딩 지하1층)",경기도 고양시 덕양구 화정동 983번지 1호 현대빌딩 지하1층 , 031- 973-4543
유흥주점,하트노래뱅크,경기도 고양시 덕양구 능곡로 3 (토당동),경기도 고양시 덕양구 토당동 340번지 6호  , 031- 974-5020
유흥주점,축세계가요,"경기도 고양시 일산서구 원일로 118 (일산동,번지 지상2층)",경기도 고양시 일산서구 일산동 552번지 24호 번지 지상2층 , 031- 975-5837
유흥주점,따봉노래뱅크,"경기도 고양시 일산서구 고양대로668번길 23 (일산동,번지 지상1층)",경기도 고양시 일산서구 일산동 655번지 237호 번지 지상1층 , 031- 975-8022
유흥주점,금영노래뱅크,"경기도 고양시 일산서구 고양대로672번길 20, 1층 (일산동)",경기도 고양시 일산서구 일산동 655번지 274호 1층 , 031- 976-4424
유흥주점,한마당뮤직뱅크유흥주점,"경기도 고양시 일산서구 원일로73번길 10 (일산동,번지 지하1층)",경기도 고양시 일산서구 일산동 596번지 1호 번지 지하1층 , 031- 976-4952
유흥주점,친구네노래뱅크,"경기도 고양시 일산서구 원일로 87 (일산동, 지하1층)",경기도 고양시 일산서구 일산동 592번지 26호 번지 외2필지 지하1층 , 031- 976-8004
유흥주점,정다운가요,"경기도 고양시 일산서구 원일로 92 (일산동,번지 지하1층)",경기도 고양시 일산서구 일산동 637번지 7호 번지 지하1층 , 031- 976-9372
유흥주점,대화,"경기도 고양시 일산서구 중앙로 1575 (대화동, 지하1층)",경기도 고양시 일산서구 대화동 2220번지 지하1층 , 031- 977-9790
유흥주점,던일,"경기도 고양시 덕양구 화신로272번길 34 (화정동,미주프라자 지하1층)",경기도 고양시 덕양구 화정동 980번지 1호 미주프라자 지하1층 , 031- 978-4327
유흥주점,링코노래타운,"경기도 고양시 덕양구 화신로260번길 41 (화정동,동성골드프라자 지하1층)",경기도 고양시 덕양구 화정동 978번지 2호 동성골드프라자 지하1층 , 031- 978-6163
유흥주점,준노래광장,"경기도 고양시 덕양구 화중로 60, B123호 (화정동, 화정종합상가)",경기도 고양시 덕양구 화정동 983번지 화정종합상가 지하1층 B123호, 031- 979-6163
유흥주점,보물섬가요주점,"경기도 고양시 덕양구 화신로260번길 37 (화정동, 진솔그린프라자 지하1층(5호일부,6,7,8,9,10,11호,16호일부))","경기도 고양시 덕양구 화정동 979번지 진솔그린프라자 지하1층(5호일부,6,7,8,9,10,11호,16호일부) ", 031- 979-7335
유흥주점,럭셔리,"경기도 고양시 일산서구 주화로 84 (주엽동, 지하1층일부)",경기도 고양시 일산서구 주엽동 114번지 지하1층일부 , 031-919 -4997
유흥주점,썬,"경기도 고양시 덕양구 혜음로 50-1, 지하1층 (고양동)",경기도 고양시 덕양구 고양동 158번지 지하1층 , 031-968 -9663
