"","면적당가격","전용면적...","층","노후정도","총인구밀도","성비","고령화정도","건물위생관리업","목욕장업","미용업","세탁업","숙박업","이용업","대부업","단란주점","유흥주점","지식산업센터","총센터면적","총유치업체수","연립주택동수","연립주택가구수","공연장","대규모점포","도서관","도서관총자료","도시공원","도시공원총면적","의료기관","의료유사업소","자동차대여업","전통시장여부","영화상영관수","여행업","어린이보호구역","약국","문화유통업","전기차충전기"
"6432",489.046773238603,84.45,9,17,2218.68318163487,1.07214426236164,0.25747388548329,13,4,83,18,10,15,1,7,6,0,0,0,120,5739,1,0,0,0,7,182811,28,1,0,"Y",0,3,6,17,68,1
"6433",499.528746465599,84.88,22,6,3935.60070671378,0.946563551361035,0.175910753967363,1,1,31,4,0,1,1,0,0,0,0,0,89,6793,0,2,0,0,5,247490,19,0,0,"N",0,1,4,7,9,0
"6434",362.31884057971,51.06,8,25,33070.4847896006,0.955775967430041,0.192504419794133,6,4,182,38,17,25,2,6,9,0,0,0,367,25564,0,0,1,144228,5,62723,83,1,0,"Y",0,12,7,26,68,0
"6435",293.374925727867,134.64,18,22,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"6436",360.041265474553,145.4,2,9,5037.97653958944,0.94679585245623,0.138915567973457,6,1,44,6,0,4,0,0,0,0,0,0,86,8297,0,0,1,70739,10,100030,20,0,1,"N",0,6,7,11,15,0
"6437",512.301988540613,59.34,14,24,21499.8194980295,0.951617785705177,0.201021090707766,30,7,225,34,4,20,8,2,3,2,11729,12,419,31451,0,1,4,302631,33,218224,113,1,2,"N",0,31,19,42,96,2
"6438",369.453875812856,173.77,21,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"6439",428.94700428947,72.27,11,24,17065.8767349489,0.942911508493996,0.186832349577701,27,4,214,29,10,16,23,6,12,0,0,0,239,20873,1,4,3,303207,20,209672,125,2,2,"N",8,27,11,39,91,5
"6440",296.243630761939,84.39,2,21,6970.72310405644,0.936596599539419,0.179865398239045,5,1,61,13,0,2,0,0,0,0,0,0,145,10883,0,0,1,94425,11,115102,35,0,2,"N",0,3,7,9,18,0
"6441",508.333333333333,60,10,23,17065.8767349489,0.942911508493996,0.186832349577701,27,4,214,29,10,16,23,6,12,0,0,0,239,20873,1,4,3,303207,20,209672,125,2,2,"N",8,27,11,39,91,5
"6442",341.337099811676,84.96,8,10,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6443",551.529790660225,49.68,6,20,30121.0964347079,0.884918476206476,0.215682401702891,19,5,211,24,2,20,9,2,9,0,0,0,295,20897,0,7,1,139151,11,137253,136,1,3,"N",9,26,9,31,21,1
"6444",355.959627089914,129.79,3,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
"6445",567.802271209085,59.88,14,26,30121.0964347079,0.884918476206476,0.215682401702891,19,5,211,24,2,20,9,2,9,0,0,0,295,20897,0,7,1,139151,11,137253,136,1,3,"N",9,26,9,31,21,1
"6446",341.252750614843,84.981,12,19,30245.9047178459,0.961502853625079,0.19860105892276,8,3,77,18,9,7,0,0,0,0,0,0,150,16493,0,0,1,21208,12,442936,51,0,0,"N",0,2,7,19,73,1
"6447",361.465623713462,121.45,6,8,1647.00075930144,0.977301731996354,0.176755336314601,5,1,29,8,0,2,3,0,0,0,0,0,84,6724,0,0,1,66396,7,92537,11,0,4,"Y",8,11,5,6,17,2
